Date,Coord-System,Altitude,Latitude,Longitude,D_deg,D_min,I_deg,I_min,H_nT,X_nT,Y_nT,Z_nT,F_nT,dD_min,dI_min,dH_nT,dX_nT,dY_nT,dZ_nT,dF_nT
2017,D,K600,55.5689098392284,4.48753216394207,0d,-20m,69d,8m,13744.5,13744.3,-79.6,36069.3,38599.3,10.1,-0.1,6.5,6.6,40.3,14.1,15.5
2017,D,K600,59.1615769807154,2.45277749020357,-1d,20m,71d,37m,12425.6,12422.3,-287.9,37383.7,39394.6,11.3,0,4.5,5.4,40.6,13.7,14.4
2017,D,K600,62.7213327537138,0.002459036040278,-2d,42m,73d,53m,11139.9,11127.5,-524.7,38558.9,40135.8,12.7,0.1,2.3,4.2,41.1,12.5,12.7
2017,D,K600,66.2347801986908,-3.04487701816989,-4d,35m,76d,0m,9877,9845.4,-789,39618.3,40830.9,14.5,0.2,0.2,3.5,41.6,10.5,10.2
2017,D,K600,69.6794356662499,-6.98541174328781,-7d,11m,78d,0m,8623,8555.3,-1078.8,40578.3,41484.4,16.9,0.2,-1.5,3.7,42.4,7.4,6.9
2017,D,K600,73.0151015660636,-12.3268920796683,-10d,52m,79d,56m,7363.2,7230.9,-1389.2,41447.7,42096.6,20.3,0.2,-2.4,5.7,43.1,3.3,2.8
2017,D,K600,76.1645886523859,-19.9779642331633,-16d,17m,81d,48m,6084.6,5840.7,-1705.5,42228.3,42664.4,25.1,0.1,-1.8,10.6,43.2,-1.6,-1.9
2017,D,K600,78.969261066012,-31.5652944069901,-24d,26m,83d,39m,4779.8,4351.5,-1977.4,42916.6,43182,32.7,-0.1,1,19.5,41.1,-7.1,-6.9
2017,D,K600,81.0990065065114,-49.4969645660999,-36d,14m,85d,28m,3452.9,2785,-2041.1,43505.5,43642.3,45.6,-0.7,7.3,32.8,32.8,-12.5,-11.9
2017,D,K600,81.9972068327875,-74.4130352525894,-46d,59m,87d,12m,2155,1470.2,-1575.6,43982.8,44035.5,67.4,-1.7,21.2,45.3,13.9,-17.5,-16.4
2017,D,K600,81.2757299972474,-99.8556433048131,-27d,38m,88d,22m,1258.8,1115.2,-583.8,44328.9,44346.8,33.4,-3.7,47.1,47.6,-10.6,-21.6,-20.2
2017,D,K600,79.2562984171201,-118.641041500664,12d,34m,87d,35m,1876.9,1831.9,408.6,44513.8,44553.3,-67.9,-2.7,33.7,40.8,-29.6,-24.3,-22.9
2017,D,K600,76.5095422482876,-130.820417331884,20d,16m,85d,40m,3376.5,3167.5,1169.7,44495.2,44623.2,-50.7,-1.4,15.7,31.7,-41.6,-25.7,-24.4
2017,D,K600,73.3920579649388,-138.819722165592,19d,54m,83d,24m,5113.8,4808.6,1740.1,44223.3,44517.9,-36.4,-0.6,5.4,23.3,-49.2,-25.6,-24.8
2017,D,K600,70.0765195396841,-144.367565853759,18d,16m,80d,57m,6954.9,6604.5,2179.7,43648.1,44198.7,-27.8,-0.2,-1.4,16.1,-53.9,-24.3,-24.2
2017,D,K600,66.6464376647624,-148.436201733943,16d,36m,78d,20m,8828.5,8460.6,2522,42732.3,43634.7,-22.3,0.1,-6.1,10.3,-56.6,-22.2,-22.9
2017,D,K600,63.1449303210032,-151.567075409301,15d,8m,75d,34m,10665.9,10296.1,2783.9,41461.4,42811.3,-18.4,0.3,-9.4,5.7,-57.7,-19.5,-21.2
